split,event_id,dataset,sequence,spatial_radius_m,temporal_exclusion_frames,query_frame,reference_frame,spatial_distance_m,query_heading_deg,reference_heading_deg,heading_difference_deg,traversal_class
stress,3,KITTI_odometry,05,5.0,100,2571,1553,4.940842122608652,359.0526532955881,272.82674913966946,86.22590415591861,oblique
stress,3,KITTI_odometry,05,5.0,100,2571,1554,4.863235648557569,359.0526532955881,272.6288248064948,86.4238284890933,oblique
stress,3,KITTI_odometry,05,5.0,100,2571,1555,4.800380766465935,359.0526532955881,272.46145741527175,86.59119588031632,oblique
stress,3,KITTI_odometry,05,5.0,100,2571,1556,4.756811168404308,359.0526532955881,272.35795289145284,86.69470040413523,oblique
stress,3,KITTI_odometry,05,5.0,100,2571,1557,4.740764716079572,359.0526532955881,272.3718289932233,86.68082430236478,oblique
stress,3,KITTI_odometry,05,5.0,100,2571,1558,4.761374356560924,359.0526532955881,272.4230306231891,86.62962267239897,oblique
stress,3,KITTI_odometry,05,5.0,100,2571,1559,4.827071942066842,359.0526532955881,272.48398575014255,86.56866754544552,oblique
stress,3,KITTI_odometry,05,5.0,100,2571,1560,4.940668164991866,359.0526532955881,272.5425352924115,86.51011800317656,oblique
stress,3,KITTI_odometry,05,5.0,100,2572,797,4.992232851846548,358.9976686796237,297.24617268027094,61.751495999352755,oblique
stress,3,KITTI_odometry,05,5.0,100,2572,798,4.985539642206139,358.9976686796237,299.15816088098194,59.83950779864176,oblique
stress,3,KITTI_odometry,05,5.0,100,2572,1546,4.895843488443181,358.9976686796237,274.16444021405874,84.83322846556496,oblique
stress,3,KITTI_odometry,05,5.0,100,2572,1547,4.767485773245682,358.9976686796237,274.00425657387973,84.99341210574397,oblique
stress,3,KITTI_odometry,05,5.0,100,2572,1548,4.636117827804741,358.9976686796237,273.8253355470306,85.17233313259311,oblique
stress,3,KITTI_odometry,05,5.0,100,2572,1549,4.504157906330104,358.9976686796237,273.6403478018051,85.35732087781861,oblique
